"Time","Provider","Id","Opcode","Task","Message"
"18:43:28.4612183","Kernel-PnP","220","시작",,"Begin querying bus relations for device PCI\VEN_1002&DEV_7550&SUBSYS_E4891DA2&REV_C0\6&8916a45&0&00000009"
"18:43:28.4614194","DxgKrnl","10011","정보",,""
"18:43:28.5020996","DxgKrnl","10011","정보",,""
"18:43:28.5021309","Kernel-PnP","222","시작",,"End querying bus relations for device PCI\VEN_1002&DEV_7550&SUBSYS_E4891DA2&REV_C0\6&8916a45&0&00000009"
"18:43:28.5023241","DxgKrnl","10011","정보",,""
"18:43:28.5023256","Kernel-PnP","1010","시작",,"버스에 누락 된 것으로 보고 된 장치 DISPLAY\SAM7B0C\7&16b8ddb4&0&UID260이 (가) 제거 되었습니다. 제거 된 장치 수 | 개수: 1"
"18:43:28.5023263","DxgKrnl","10011","정보",,""
"18:43:28.5028809","DxgKrnl","10011","정보",,""
"18:43:28.5028861","Kernel-PnP","220","시작",,"Begin querying bus relations for device SWD\DRIVERENUM\AMDCP&7&16b8ddb4&0"
"18:43:28.5028897","Kernel-PnP","222","시작",,"End querying bus relations for device SWD\DRIVERENUM\AMDCP&7&16b8ddb4&0"
"18:43:28.5029012","Kernel-PnP","220","시작",,"Begin querying bus relations for device SWD\DRIVERENUM\AMDFDANS&7&16b8ddb4&0"
"18:43:28.5029022","Kernel-PnP","222","시작",,"End querying bus relations for device SWD\DRIVERENUM\AMDFDANS&7&16b8ddb4&0"
"18:43:28.5029079","Kernel-PnP","220","시작",,"Begin querying bus relations for device SWD\DRIVERENUM\AMDOCL&7&16b8ddb4&0"
"18:43:28.5029088","Kernel-PnP","222","시작",,"End querying bus relations for device SWD\DRIVERENUM\AMDOCL&7&16b8ddb4&0"
"18:43:28.5029169","Kernel-PnP","220","시작",,"Begin querying bus relations for device SWD\DRIVERENUM\AMDOGL&7&16b8ddb4&0"
"18:43:28.5029179","Kernel-PnP","222","시작",,"End querying bus relations for device SWD\DRIVERENUM\AMDOGL&7&16b8ddb4&0"
"18:43:28.5029257","Kernel-PnP","220","시작",,"Begin querying bus relations for device SWD\DRIVERENUM\AMDVLK&7&16b8ddb4&0"
"18:43:28.5029267","Kernel-PnP","222","시작",,"End querying bus relations for device SWD\DRIVERENUM\AMDVLK&7&16b8ddb4&0"
"18:43:28.5029347","Kernel-PnP","220","시작",,"Begin querying bus relations for device SWD\DRIVERENUM\AMDWIN&7&16b8ddb4&0"
"18:43:28.5029356","Kernel-PnP","222","시작",,"End querying bus relations for device SWD\DRIVERENUM\AMDWIN&7&16b8ddb4&0"
"18:43:28.5029458","Kernel-PnP","220","시작",,"Begin querying bus relations for device DISPLAY\BBC0104\7&16b8ddb4&0&UID265"
"18:43:28.5029531","Kernel-PnP","222","시작",,"End querying bus relations for device DISPLAY\BBC0104\7&16b8ddb4&0&UID265"
"18:43:28.5029677","Kernel-PnP","220","시작",,"Begin querying bus relations for device DISPLAY\SAM79DF\7&16b8ddb4&0&UID256"
"18:43:28.5029716","Kernel-PnP","222","시작",,"End querying bus relations for device DISPLAY\SAM79DF\7&16b8ddb4&0&UID256"
"18:43:28.5029744","DxgKrnl","10011","정보",,""
"18:43:28.5039253","DxgKrnl","10011","정보",,""
"18:43:28.5043620","DxgKrnl","10011","정보",,""
"18:43:28.5047703","Kernel-PnP","808","시작",,"End device add, status (STATUS_SUCCESS)"
"18:43:28.5051214","Kernel-PnP","220","시작",,"Begin querying bus relations for device DISPLAY\Default_Monitor\7&16b8ddb4&0&UID260"
"18:43:28.5051247","Kernel-PnP","222","시작",,"End querying bus relations for device DISPLAY\Default_Monitor\7&16b8ddb4&0&UID260"
"18:43:28.5053874","DxgKrnl","10011","정보",,""
"18:43:28.5094831","DxgKrnl","10011","정보",,""
"18:43:28.5095618","DxgKrnl","10011","정보",,""
"18:43:28.5191351","DxgKrnl","10011","정보",,""
"18:43:28.5191591","DxgKrnl","10011","정보",,""
"18:43:28.5192247","DxgKrnl","10011","정보",,""
"18:43:28.5192286","DxgKrnl","10011","정보",,""
"18:43:28.5192310","DxgKrnl","10011","정보",,""
"18:43:28.5228389","DxgKrnl","10011","정보",,""
"18:43:28.5229137","DxgKrnl","10011","정보",,""
"18:43:28.6064650","DxgKrnl","10011","정보",,""
"18:43:28.6065733","DxgKrnl","10011","정보",,""
"18:43:28.6066249","DxgKrnl","10011","정보",,""
"18:43:28.6079590","DxgKrnl","10011","정보",,""
"18:43:28.6080349","DxgKrnl","10011","정보",,""
"18:43:28.6082166","DxgKrnl","10011","정보",,""
"18:43:28.6082903","DxgKrnl","10011","정보",,""
"18:43:28.6082916","DxgKrnl","10011","정보",,""
"18:43:28.6084016","DxgKrnl","10011","정보",,""
"18:43:28.6084068","DxgKrnl","10011","정보",,""
"18:43:28.6084891","DxgKrnl","10011","정보",,""
"18:43:28.6084923","DxgKrnl","10011","정보",,""
"18:43:28.6085708","DxgKrnl","10011","정보",,""
"18:43:28.6085786","DxgKrnl","10011","정보",,""
"18:43:28.6086584","DxgKrnl","10011","정보",,""
"18:43:28.6086619","DxgKrnl","10011","정보",,""
"18:43:28.6087342","DxgKrnl","10011","정보",,""
"18:43:28.6110234","DxgKrnl","10011","정보",,""
"18:43:28.6110320","DxgKrnl","10011","정보",,""
"18:43:28.6110333","DxgKrnl","10011","정보",,""
"18:43:28.6112540","DxgKrnl","10011","정보",,""
"18:43:28.6115911","DxgKrnl","10011","정보",,""
"18:43:28.6116479","DxgKrnl","10011","정보",,""
"18:43:28.6116545","DxgKrnl","10011","정보",,""
"18:43:28.6116624","DxgKrnl","10011","정보",,""
"18:43:28.6117670","DxgKrnl","10011","정보",,""
"18:43:28.6117727","DxgKrnl","10011","정보",,""
"18:43:28.6125849","DxgKrnl","10011","정보",,""
"18:43:28.6126758","DxgKrnl","10011","정보",,""
"18:43:28.6326123","DxgKrnl","10011","정보",,""
"18:43:28.6327018","DxgKrnl","10011","정보",,""
"18:43:28.6327050","DxgKrnl","10011","정보",,""
"18:43:28.6501885","Kernel-PnP","220","시작",,"Begin querying bus relations for device PCI\VEN_1002&DEV_7550&SUBSYS_E4891DA2&REV_C0\6&8916a45&0&00000009"
"18:43:28.6970834","Kernel-PnP","222","시작",,"End querying bus relations for device PCI\VEN_1002&DEV_7550&SUBSYS_E4891DA2&REV_C0\6&8916a45&0&00000009"
"18:43:28.6970839","DxgKrnl","10011","정보",,""
"18:43:28.6970883","DxgKrnl","10011","정보",,""
