file,time,id,a,b
g80sh-baseline-0919.etl,2026-09-19 17:08:52.857395,10011,"10","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.866251,10011,"9","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.866342,10011,"10","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.866343,10011,"9","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.866400,10011,"10","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.866402,10011,"9","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.866454,10011,"10","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.866461,10011,"9","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.866516,10011,"10","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.867220,10011,"9","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.867270,10011,"10","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.870883,10011,"9","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.872265,10011,"10","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.873269,10011,"9","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.873602,10011,"9","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.874164,10011,"10","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.874174,10011,"10","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.880387,10011,"9","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.880452,10011,"10","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.929174,810,"9","PCI\VEN_1002&DEV_7550&SUBSYS_E4891DA2&REV_C0\6&8916a45&0&00000009"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.929185,811,"9","PCI\VEN_1002&DEV_7550&SUBSYS_E4891DA2&REV_C0\6&8916a45&0&00000009"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.929190,220,"PCI\VEN_1002&DEV_7550&SUBSYS_E4891DA2&REV_C0\6&8916a45&0&00000009","65"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.953140,222,"PCI\VEN_1002&DEV_7550&SUBSYS_E4891DA2&REV_C0\6&8916a45&0&00000009","65"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.953312,1010,"DISPLAY\SAM7B0C\7&16b8ddb4&0&UID256","1"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.953736,220,"SWD\DRIVERENUM\AMDCP&7&16b8ddb4&0","33"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.953740,222,"SWD\DRIVERENUM\AMDCP&7&16b8ddb4&0","33"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.953753,220,"SWD\DRIVERENUM\AMDFDANS&7&16b8ddb4&0","36"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.953754,222,"SWD\DRIVERENUM\AMDFDANS&7&16b8ddb4&0","36"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.953762,220,"SWD\DRIVERENUM\AMDOCL&7&16b8ddb4&0","34"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.953763,222,"SWD\DRIVERENUM\AMDOCL&7&16b8ddb4&0","34"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.953769,220,"SWD\DRIVERENUM\AMDOGL&7&16b8ddb4&0","34"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.953770,222,"SWD\DRIVERENUM\AMDOGL&7&16b8ddb4&0","34"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.953778,220,"SWD\DRIVERENUM\AMDVLK&7&16b8ddb4&0","34"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.953778,222,"SWD\DRIVERENUM\AMDVLK&7&16b8ddb4&0","34"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.953785,220,"SWD\DRIVERENUM\AMDWIN&7&16b8ddb4&0","34"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.953786,222,"SWD\DRIVERENUM\AMDWIN&7&16b8ddb4&0","34"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.953791,220,"DISPLAY\BBC0104\7&16b8ddb4&0&UID265","35"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.953797,222,"DISPLAY\BBC0104\7&16b8ddb4&0&UID265","35"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.953802,220,"DISPLAY\SAM79DF\7&16b8ddb4&0&UID260","35"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.953805,222,"DISPLAY\SAM79DF\7&16b8ddb4&0&UID260","35"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.953934,10011,"1","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.955029,10011,"9","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.955052,10011,"9","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.955053,10011,"9","0"
g80sh-baseline-0919.etl,2026-09-19 17:08:52.955314,10011,"10","0"
