"Time","Provider","Id","Opcode","Task","Message"
"21:53:57.2595095","Kernel-PnP","220","시작",,"Begin querying bus relations for device PCI\VEN_1002&DEV_7550&SUBSYS_E4891DA2&REV_C0\6&8916a45&0&00000009"
"21:53:57.2596658","DxgKrnl","10011","정보",,""
"21:53:57.2987123","DxgKrnl","10011","정보",,""
"21:53:57.2990052","DxgKrnl","10011","정보",,""
"21:53:57.2990068","DxgKrnl","10011","정보",,""
"21:53:57.2991965","Kernel-PnP","222","시작",,"End querying bus relations for device PCI\VEN_1002&DEV_7550&SUBSYS_E4891DA2&REV_C0\6&8916a45&0&00000009"
"21:53:57.2994137","Kernel-PnP","1010","시작",,"버스에 누락 된 것으로 보고 된 장치 DISPLAY\SAM7B0C\7&16b8ddb4&0&UID260이 (가) 제거 되었습니다. 제거 된 장치 수 | 개수: 1"
"21:53:57.2995084","DxgKrnl","10011","정보",,""
"21:53:57.2995793","DxgKrnl","10011","정보",,""
"21:53:57.3000571","Kernel-PnP","220","시작",,"Begin querying bus relations for device SWD\DRIVERENUM\AMDCP&7&16b8ddb4&0"
"21:53:57.3000606","Kernel-PnP","222","시작",,"End querying bus relations for device SWD\DRIVERENUM\AMDCP&7&16b8ddb4&0"
"21:53:57.3000734","Kernel-PnP","220","시작",,"Begin querying bus relations for device SWD\DRIVERENUM\AMDFDANS&7&16b8ddb4&0"
"21:53:57.3000779","Kernel-PnP","222","시작",,"End querying bus relations for device SWD\DRIVERENUM\AMDFDANS&7&16b8ddb4&0"
"21:53:57.3000879","Kernel-PnP","220","시작",,"Begin querying bus relations for device SWD\DRIVERENUM\AMDOCL&7&16b8ddb4&0"
"21:53:57.3000898","Kernel-PnP","222","시작",,"End querying bus relations for device SWD\DRIVERENUM\AMDOCL&7&16b8ddb4&0"
"21:53:57.3000963","Kernel-PnP","220","시작",,"Begin querying bus relations for device SWD\DRIVERENUM\AMDOGL&7&16b8ddb4&0"
"21:53:57.3000974","Kernel-PnP","222","시작",,"End querying bus relations for device SWD\DRIVERENUM\AMDOGL&7&16b8ddb4&0"
"21:53:57.3001031","Kernel-PnP","220","시작",,"Begin querying bus relations for device SWD\DRIVERENUM\AMDVLK&7&16b8ddb4&0"
"21:53:57.3001040","Kernel-PnP","222","시작",,"End querying bus relations for device SWD\DRIVERENUM\AMDVLK&7&16b8ddb4&0"
"21:53:57.3001093","Kernel-PnP","220","시작",,"Begin querying bus relations for device SWD\DRIVERENUM\AMDWIN&7&16b8ddb4&0"
"21:53:57.3001103","Kernel-PnP","222","시작",,"End querying bus relations for device SWD\DRIVERENUM\AMDWIN&7&16b8ddb4&0"
"21:53:57.3001159","Kernel-PnP","220","시작",,"Begin querying bus relations for device DISPLAY\BBC0104\7&16b8ddb4&0&UID265"
"21:53:57.3001218","Kernel-PnP","222","시작",,"End querying bus relations for device DISPLAY\BBC0104\7&16b8ddb4&0&UID265"
"21:53:57.3001277","Kernel-PnP","220","시작",,"Begin querying bus relations for device DISPLAY\SAM79DF\7&16b8ddb4&0&UID256"
"21:53:57.3001307","Kernel-PnP","222","시작",,"End querying bus relations for device DISPLAY\SAM79DF\7&16b8ddb4&0&UID256"
"21:53:57.3010673","DxgKrnl","10011","정보",,""
"21:53:57.3011738","DxgKrnl","10011","정보",,""
"21:53:57.3014646","Kernel-PnP","808","시작",,"End device add, status (STATUS_SUCCESS)"
"21:53:57.3017559","Kernel-PnP","220","시작",,"Begin querying bus relations for device DISPLAY\Default_Monitor\7&16b8ddb4&0&UID260"
"21:53:57.3017584","Kernel-PnP","222","시작",,"End querying bus relations for device DISPLAY\Default_Monitor\7&16b8ddb4&0&UID260"
"21:53:57.3021452","DxgKrnl","10011","정보",,""
"21:53:57.3051045","DxgKrnl","10011","정보",,""
"21:53:57.3051721","DxgKrnl","10011","정보",,""
"21:53:57.3144909","DxgKrnl","10011","정보",,""
"21:53:57.3145248","DxgKrnl","10011","정보",,""
"21:53:57.3145930","DxgKrnl","10011","정보",,""
"21:53:57.3145988","DxgKrnl","10011","정보",,""
"21:53:57.3146011","DxgKrnl","10011","정보",,""
"21:53:57.3181108","DxgKrnl","10011","정보",,""
"21:53:57.3181754","DxgKrnl","10011","정보",,""
"21:53:57.3982215","DxgKrnl","10011","정보",,""
"21:53:57.3983169","DxgKrnl","10011","정보",,""
"21:53:57.3983728","DxgKrnl","10011","정보",,""
"21:53:57.3996015","DxgKrnl","10011","정보",,""
"21:53:57.3996693","DxgKrnl","10011","정보",,""
"21:53:57.3998231","DxgKrnl","10011","정보",,""
"21:53:57.3998981","DxgKrnl","10011","정보",,""
"21:53:57.3998989","DxgKrnl","10011","정보",,""
"21:53:57.3999675","DxgKrnl","10011","정보",,""
"21:53:57.3999683","DxgKrnl","10011","정보",,""
"21:53:57.4000378","DxgKrnl","10011","정보",,""
"21:53:57.4000394","DxgKrnl","10011","정보",,""
"21:53:57.4001118","DxgKrnl","10011","정보",,""
"21:53:57.4001182","DxgKrnl","10011","정보",,""
"21:53:57.4001862","DxgKrnl","10011","정보",,""
"21:53:57.4001890","DxgKrnl","10011","정보",,""
"21:53:57.4002563","DxgKrnl","10011","정보",,""
"21:53:57.4022226","DxgKrnl","10011","정보",,""
"21:53:57.4022296","DxgKrnl","10011","정보",,""
"21:53:57.4022510","DxgKrnl","10011","정보",,""
"21:53:57.4024923","DxgKrnl","10011","정보",,""
"21:53:57.4024936","DxgKrnl","10011","정보",,""
"21:53:57.4024953","DxgKrnl","10011","정보",,""
"21:53:57.4034605","DxgKrnl","10011","정보",,""
"21:53:57.4035433","DxgKrnl","10011","정보",,""
"21:53:57.4199374","DxgKrnl","10011","정보",,""
"21:53:57.4200180","DxgKrnl","10011","정보",,""
"21:53:57.4200186","DxgKrnl","10011","정보",,""
"21:53:57.4201010","DxgKrnl","10011","정보",,""
"21:53:57.4201016","DxgKrnl","10011","정보",,""
"21:53:57.4201732","DxgKrnl","10011","정보",,""
"21:53:57.4201744","DxgKrnl","10011","정보",,""
"21:53:57.4202419","DxgKrnl","10011","정보",,""
"21:53:57.4202532","DxgKrnl","10011","정보",,""
"21:53:57.4203206","DxgKrnl","10011","정보",,""
"21:53:57.4203232","DxgKrnl","10011","정보",,""
"21:53:57.4203922","DxgKrnl","10011","정보",,""
"21:53:57.4209810","DxgKrnl","10011","정보",,""
"21:53:57.4210490","DxgKrnl","10011","정보",,""
"21:53:57.4237493","DxgKrnl","10011","정보",,""
"21:53:57.4246359","DxgKrnl","10011","정보",,""
"21:53:57.4263420","DxgKrnl","10011","정보",,""
"21:53:57.4264316","DxgKrnl","10011","정보",,""
"21:53:57.4317142","DxgKrnl","10011","정보",,""
"21:53:57.4318023","DxgKrnl","10011","정보",,""
"21:53:57.4490838","DxgKrnl","10011","정보",,""
"21:53:57.4500782","DxgKrnl","10011","정보",,""
"21:53:57.4979461","Kernel-PnP","220","시작",,"Begin querying bus relations for device PCI\VEN_1002&DEV_7550&SUBSYS_E4891DA2&REV_C0\6&8916a45&0&00000009"
"21:53:57.5438924","Kernel-PnP","222","시작",,"End querying bus relations for device PCI\VEN_1002&DEV_7550&SUBSYS_E4891DA2&REV_C0\6&8916a45&0&00000009"
"21:53:57.5440517","Kernel-PnP","1010","시작",,"버스에 누락 된 것으로 보고 된 장치 DISPLAY\Default_Monitor\7&16b8ddb4&0&UID260이 (가) 제거 되었습니다. 제거 된 장치 수 | 개수: 1"
"21:53:57.5442940","DxgKrnl","10011","정보",,""
"21:53:57.5443069","DxgKrnl","10011","정보",,""
"21:53:57.5443290","DxgKrnl","10011","정보",,""
"21:53:57.5445129","Kernel-PnP","220","시작",,"Begin querying bus relations for device SWD\DRIVERENUM\AMDCP&7&16b8ddb4&0"
"21:53:57.5445186","Kernel-PnP","222","시작",,"End querying bus relations for device SWD\DRIVERENUM\AMDCP&7&16b8ddb4&0"
"21:53:57.5445574","Kernel-PnP","220","시작",,"Begin querying bus relations for device SWD\DRIVERENUM\AMDFDANS&7&16b8ddb4&0"
"21:53:57.5445598","Kernel-PnP","222","시작",,"End querying bus relations for device SWD\DRIVERENUM\AMDFDANS&7&16b8ddb4&0"
