file,time,id,a,b,c
g80sh-exp-A-trcc-on.etl,2026-09-24 03:08:24.845963,1099,"257",8,24352
g80sh-exp-A-trcc-on.etl,2026-09-24 03:08:24.845968,1099,"258",8,24353
g80sh-exp-A-trcc-on.etl,2026-09-24 03:08:24.845972,1099,"259",8,24354
g80sh-exp-A-trcc-on.etl,2026-09-24 03:08:24.845979,1099,"260",10,24355
g80sh-exp-A-trcc-on.etl,2026-09-24 03:08:24.845986,1099,"261",8,24356
g80sh-exp-A-trcc-on.etl,2026-09-24 03:08:24.845991,1099,"262",8,24357
g80sh-exp-A-trcc-on.etl,2026-09-24 03:08:24.845995,1099,"263",8,24358
g80sh-exp-A-trcc-on.etl,2026-09-24 03:08:24.845999,1099,"264",8,24359
g80sh-exp-A-trcc-on.etl,2026-09-24 03:08:24.846007,1099,"265",10,24360
g80sh-exp-A-trcc-on.etl,2026-09-24 03:08:24.846014,1099,"266",8,24361
g80sh-exp-A-trcc-on.etl,2026-09-24 03:08:24.846016,1099,"0",0,0
g80sh-exp-A-trcc-on.etl,2026-09-24 03:08:45.449526,1099,"256",10,24362
g80sh-exp-A-trcc-on.etl,2026-09-24 03:08:45.449542,1099,"257",8,24363
g80sh-exp-A-trcc-on.etl,2026-09-24 03:08:45.449546,1099,"258",8,24364
g80sh-exp-A-trcc-on.etl,2026-09-24 03:08:45.449551,1099,"259",8,24365
g80sh-exp-A-trcc-on.etl,2026-09-24 03:08:45.449558,1099,"260",10,24366
g80sh-exp-A-trcc-on.etl,2026-09-24 03:08:45.449565,1099,"261",8,24367
g80sh-exp-A-trcc-on.etl,2026-09-24 03:08:45.449570,1099,"262",8,24368
g80sh-exp-A-trcc-on.etl,2026-09-24 03:08:45.449575,1099,"263",8,24369
g80sh-exp-A-trcc-on.etl,2026-09-24 03:08:45.449579,1099,"264",8,24370
g80sh-exp-A-trcc-on.etl,2026-09-24 03:08:45.449587,1099,"265",10,24371
g80sh-exp-A-trcc-on.etl,2026-09-24 03:08:45.449594,1099,"266",8,24372
g80sh-exp-A-trcc-on.etl,2026-09-24 03:08:45.449596,1099,"0",0,0
g80sh-exp-A-trcc-on.etl,2026-09-24 03:08:46.842926,1099,"260",8,24373
g80sh-exp-A-trcc-on.etl,2026-09-24 03:08:46.843070,1099,"260",10,24374
g80sh-exp-A-trcc-on.etl,2026-09-24 03:08:46.843132,220,"GPU",,
g80sh-exp-A-trcc-on.etl,2026-09-24 03:08:46.870559,1099,"0",0,0
g80sh-exp-A-trcc-on.etl,2026-09-24 03:08:46.882737,1010,"DISPLAY\SAM7B0C\7&16b8ddb4&0&UID260",,
