time,phase,gpu_w,cpu_w,idle_s
09:40:53,B2-normal,26,34.9,2,377
09:40:54,B2-normal,26,34.2,2,378
09:40:55,B2-normal,26,33.7,2,379
09:40:56,B2-normal,26,33.5,2,380
09:40:57,B2-normal,26,34,2,381
09:40:58,B2-normal,32,33.8,2,383
09:40:59,B2-normal,26,33.8,2,384
09:41:00,B2-normal,26,33.6,2,385
09:41:01,B2-normal,26,37.9,2,386
09:41:02,B2-normal,26,34.4,2,387
09:41:03,B2-normal,34,33.4,2,388
09:41:04,B2-normal,26,34.6,2,389
09:41:05,B2-normal,26,33,2,390
