file,time,id,a,b,c
g80sh-conn-0923-2325-1.etl,2026-09-23 23:28:01.626591,1099,"257",8,18308
g80sh-conn-0923-2325-1.etl,2026-09-23 23:28:01.626596,1099,"258",8,18309
g80sh-conn-0923-2325-1.etl,2026-09-23 23:28:01.626600,1099,"259",8,18310
g80sh-conn-0923-2325-1.etl,2026-09-23 23:28:01.626608,1099,"260",10,18311
g80sh-conn-0923-2325-1.etl,2026-09-23 23:28:01.626615,1099,"261",8,18312
g80sh-conn-0923-2325-1.etl,2026-09-23 23:28:01.626619,1099,"262",8,18313
g80sh-conn-0923-2325-1.etl,2026-09-23 23:28:01.626624,1099,"263",8,18314
g80sh-conn-0923-2325-1.etl,2026-09-23 23:28:01.626628,1099,"264",8,18315
g80sh-conn-0923-2325-1.etl,2026-09-23 23:28:01.626636,1099,"265",10,18316
g80sh-conn-0923-2325-1.etl,2026-09-23 23:28:01.626643,1099,"266",8,18317
g80sh-conn-0923-2325-1.etl,2026-09-23 23:28:01.626645,1099,"0",0,0
g80sh-conn-0923-2325-1.etl,2026-09-23 23:28:21.624821,1099,"256",10,18318
g80sh-conn-0923-2325-1.etl,2026-09-23 23:28:21.624836,1099,"257",8,18319
g80sh-conn-0923-2325-1.etl,2026-09-23 23:28:21.624841,1099,"258",8,18320
g80sh-conn-0923-2325-1.etl,2026-09-23 23:28:21.624846,1099,"259",8,18321
g80sh-conn-0923-2325-1.etl,2026-09-23 23:28:21.624854,1099,"260",10,18322
g80sh-conn-0923-2325-1.etl,2026-09-23 23:28:21.624861,1099,"261",8,18323
g80sh-conn-0923-2325-1.etl,2026-09-23 23:28:21.624865,1099,"262",8,18324
g80sh-conn-0923-2325-1.etl,2026-09-23 23:28:21.624870,1099,"263",8,18325
g80sh-conn-0923-2325-1.etl,2026-09-23 23:28:21.624874,1099,"264",8,18326
g80sh-conn-0923-2325-1.etl,2026-09-23 23:28:21.624882,1099,"265",10,18327
g80sh-conn-0923-2325-1.etl,2026-09-23 23:28:21.624889,1099,"266",8,18328
g80sh-conn-0923-2325-1.etl,2026-09-23 23:28:21.624891,1099,"0",0,0
g80sh-conn-0923-2325-1.etl,2026-09-23 23:28:23.015199,1099,"260",8,18329
g80sh-conn-0923-2325-1.etl,2026-09-23 23:28:23.015315,1099,"260",10,18330
g80sh-conn-0923-2325-1.etl,2026-09-23 23:28:23.015416,220,"GPU",,
g80sh-conn-0923-2325-1.etl,2026-09-23 23:28:23.043353,1099,"0",0,0
g80sh-conn-0923-2325-1.etl,2026-09-23 23:28:23.055853,1010,"DISPLAY\SAM7B0C\7&16b8ddb4&0&UID260",,
g80sh-conn-0923-2325-1.etl,2026-09-23 23:28:23.117148,1099,"0",0,0
g80sh-conn-0923-2325-1.etl,2026-09-23 23:28:23.229283,1099,"260",8,18331
g80sh-conn-0923-2325-1.etl,2026-09-23 23:28:23.229355,1099,"0",0,0
g80sh-conn-0923-2325-1.etl,2026-09-23 23:28:23.229418,220,"GPU",,
g80sh-conn-0923-2325-1.etl,2026-09-23 23:28:23.284965,1010,"DISPLAY\Default_Monitor\7&16b8ddb4&0&UID260",,
g80sh-conn-0923-2325-1.etl,2026-09-23 23:28:23.371061,1099,"0",0,0
g80sh-conn-0923-2325-1.etl,2026-09-23 23:28:26.566455,1099,"260",10,18332
g80sh-conn-0923-2325-1.etl,2026-09-23 23:28:26.813764,1099,"0",0,0
g80sh-conn-0923-2325-1.etl,2026-09-23 23:28:26.813816,220,"GPU",,
g80sh-conn-0923-2325-1.etl,2026-09-23 23:28:26.851115,1099,"0",0,0
g80sh-conn-0923-2325-1.etl,2026-09-23 23:28:53.947980,1099,"256",10,18333
g80sh-conn-0923-2325-1.etl,2026-09-23 23:28:53.947997,1099,"257",8,18334
g80sh-conn-0923-2325-1.etl,2026-09-23 23:28:53.948001,1099,"258",8,18335
g80sh-conn-0923-2325-1.etl,2026-09-23 23:28:53.948006,1099,"259",8,18336
g80sh-conn-0923-2325-1.etl,2026-09-23 23:28:53.948013,1099,"260",10,18337
g80sh-conn-0923-2325-1.etl,2026-09-23 23:28:53.948020,1099,"261",8,18338
g80sh-conn-0923-2325-1.etl,2026-09-23 23:28:53.948025,1099,"262",8,18339
g80sh-conn-0923-2325-1.etl,2026-09-23 23:28:53.948029,1099,"263",8,18340
g80sh-conn-0923-2325-1.etl,2026-09-23 23:28:53.948034,1099,"264",8,18341
g80sh-conn-0923-2325-1.etl,2026-09-23 23:28:53.948042,1099,"265",10,18342
g80sh-conn-0923-2325-1.etl,2026-09-23 23:28:53.948050,1099,"266",8,18343
g80sh-conn-0923-2325-1.etl,2026-09-23 23:28:53.948052,1099,"0",0,0
g80sh-conn-0923-2325-1.etl,2026-09-23 23:29:04.312322,1099,"256",10,18344
g80sh-conn-0923-2325-1.etl,2026-09-23 23:29:04.312338,1099,"257",8,18345
g80sh-conn-0923-2325-1.etl,2026-09-23 23:29:04.312343,1099,"258",8,18346
g80sh-conn-0923-2325-1.etl,2026-09-23 23:29:04.312347,1099,"259",8,18347
g80sh-conn-0923-2325-1.etl,2026-09-23 23:29:04.312355,1099,"260",10,18348
g80sh-conn-0923-2325-1.etl,2026-09-23 23:29:04.312362,1099,"261",8,18349
g80sh-conn-0923-2325-1.etl,2026-09-23 23:29:04.312366,1099,"262",8,18350
g80sh-conn-0923-2325-1.etl,2026-09-23 23:29:04.312371,1099,"263",8,18351
g80sh-conn-0923-2325-1.etl,2026-09-23 23:29:04.312376,1099,"264",8,18352
g80sh-conn-0923-2325-1.etl,2026-09-23 23:29:04.312384,1099,"265",10,18353
g80sh-conn-0923-2325-1.etl,2026-09-23 23:29:04.312391,1099,"266",8,18354
g80sh-conn-0923-2325-1.etl,2026-09-23 23:29:04.312393,1099,"0",0,0
g80sh-conn-0923-2325-1.etl,2026-09-23 23:29:05.707328,1099,"260",8,18355
g80sh-conn-0923-2325-1.etl,2026-09-23 23:29:05.707449,1099,"260",10,18356
g80sh-conn-0923-2325-1.etl,2026-09-23 23:29:05.707496,220,"GPU",,
g80sh-conn-0923-2325-1.etl,2026-09-23 23:29:05.733553,1099,"0",0,0
g80sh-conn-0923-2325-1.etl,2026-09-23 23:29:05.746623,1010,"DISPLAY\SAM7B0C\7&16b8ddb4&0&UID260",,
g80sh-conn-0923-2325-1.etl,2026-09-23 23:29:05.807416,1099,"0",0,0
g80sh-conn-0923-2325-1.etl,2026-09-23 23:29:05.962971,1099,"260",8,18357
g80sh-conn-0923-2325-1.etl,2026-09-23 23:29:05.963039,1099,"0",0,0
g80sh-conn-0923-2325-1.etl,2026-09-23 23:29:05.963097,220,"GPU",,
g80sh-conn-0923-2325-1.etl,2026-09-23 23:29:06.008226,1010,"DISPLAY\Default_Monitor\7&16b8ddb4&0&UID260",,
g80sh-conn-0923-2325-1.etl,2026-09-23 23:29:06.058297,1099,"0",0,0
g80sh-conn-0923-2325-1.etl,2026-09-23 23:29:09.294278,1099,"260",10,18358
g80sh-conn-0923-2325-1.etl,2026-09-23 23:29:09.542385,1099,"0",0,0
g80sh-conn-0923-2325-1.etl,2026-09-23 23:29:09.542483,220,"GPU",,
g80sh-conn-0923-2325-1.etl,2026-09-23 23:29:09.580298,1099,"0",0,0
g80sh-conn-0923-2325-1.etl,2026-09-23 23:29:51.605361,1099,"256",10,18359
g80sh-conn-0923-2325-1.etl,2026-09-23 23:29:51.605375,1099,"257",8,18360
g80sh-conn-0923-2325-1.etl,2026-09-23 23:29:51.605379,1099,"258",8,18361
g80sh-conn-0923-2325-1.etl,2026-09-23 23:29:51.605382,1099,"259",8,18362
g80sh-conn-0923-2325-1.etl,2026-09-23 23:29:51.605387,1099,"260",10,18363
g80sh-conn-0923-2325-1.etl,2026-09-23 23:29:51.605392,1099,"261",8,18364
g80sh-conn-0923-2325-1.etl,2026-09-23 23:29:51.605395,1099,"262",8,18365
g80sh-conn-0923-2325-1.etl,2026-09-23 23:29:51.605399,1099,"263",8,18366
g80sh-conn-0923-2325-1.etl,2026-09-23 23:29:51.605402,1099,"264",8,18367
g80sh-conn-0923-2325-1.etl,2026-09-23 23:29:51.605408,1099,"265",10,18368
g80sh-conn-0923-2325-1.etl,2026-09-23 23:29:51.605413,1099,"266",8,18369
g80sh-conn-0923-2325-1.etl,2026-09-23 23:29:51.605414,1099,"0",0,0
g80sh-conn-0923-2325-1.etl,2026-09-23 23:29:52.994331,1099,"260",8,18370
g80sh-conn-0923-2325-1.etl,2026-09-23 23:29:52.994443,1099,"260",10,18371
g80sh-conn-0923-2325-1.etl,2026-09-23 23:29:52.994489,220,"GPU",,
g80sh-conn-0923-2325-1.etl,2026-09-23 23:29:53.020058,1099,"0",0,0
g80sh-conn-0923-2325-1.etl,2026-09-23 23:29:53.032070,1010,"DISPLAY\SAM7B0C\7&16b8ddb4&0&UID260",,
g80sh-conn-0923-2325-1.etl,2026-09-23 23:29:53.091954,1099,"0",0,0
g80sh-conn-0923-2325-1.etl,2026-09-23 23:29:53.351170,1099,"260",8,18372
g80sh-conn-0923-2325-1.etl,2026-09-23 23:29:53.351231,1099,"0",0,0
g80sh-conn-0923-2325-1.etl,2026-09-23 23:29:53.351298,220,"GPU",,
g80sh-conn-0923-2325-1.etl,2026-09-23 23:29:53.392865,1010,"DISPLAY\Default_Monitor\7&16b8ddb4&0&UID260",,
g80sh-conn-0923-2325-1.etl,2026-09-23 23:29:53.426748,1099,"0",0,0
g80sh-conn-0923-2325-1.etl,2026-09-23 23:29:56.672257,1099,"260",10,18373
g80sh-conn-0923-2325-1.etl,2026-09-23 23:29:56.902514,1099,"0",0,0
g80sh-conn-0923-2325-1.etl,2026-09-23 23:29:56.902571,220,"GPU",,
g80sh-conn-0923-2325-1.etl,2026-09-23 23:29:56.929924,1099,"0",0,0
g80sh-conn-0923-2325-1.etl,2026-09-23 23:30:25.517624,1099,"256",10,18374
g80sh-conn-0923-2325-1.etl,2026-09-23 23:30:25.517638,1099,"257",8,18375
g80sh-conn-0923-2325-1.etl,2026-09-23 23:30:25.517642,1099,"258",8,18376
g80sh-conn-0923-2325-1.etl,2026-09-23 23:30:25.517645,1099,"259",8,18377
g80sh-conn-0923-2325-1.etl,2026-09-23 23:30:25.517650,1099,"260",10,18378
g80sh-conn-0923-2325-1.etl,2026-09-23 23:30:25.517655,1099,"261",8,18379
g80sh-conn-0923-2325-1.etl,2026-09-23 23:30:25.517658,1099,"262",8,18380
g80sh-conn-0923-2325-1.etl,2026-09-23 23:30:25.517661,1099,"263",8,18381
g80sh-conn-0923-2325-1.etl,2026-09-23 23:30:25.517664,1099,"264",8,18382
g80sh-conn-0923-2325-1.etl,2026-09-23 23:30:25.517670,1099,"265",10,18383
g80sh-conn-0923-2325-1.etl,2026-09-23 23:30:25.517676,1099,"266",8,18384
g80sh-conn-0923-2325-1.etl,2026-09-23 23:30:25.517677,1099,"0",0,0
g80sh-conn-0923-2325-1.etl,2026-09-23 23:30:35.834514,1099,"256",10,18385
g80sh-conn-0923-2325-1.etl,2026-09-23 23:30:35.834530,1099,"257",8,18386
g80sh-conn-0923-2325-1.etl,2026-09-23 23:30:35.834535,1099,"258",8,18387
g80sh-conn-0923-2325-1.etl,2026-09-23 23:30:35.834540,1099,"259",8,18388
g80sh-conn-0923-2325-1.etl,2026-09-23 23:30:35.834547,1099,"260",10,18389
g80sh-conn-0923-2325-1.etl,2026-09-23 23:30:35.834555,1099,"261",8,18390
g80sh-conn-0923-2325-1.etl,2026-09-23 23:30:35.834559,1099,"262",8,18391
g80sh-conn-0923-2325-1.etl,2026-09-23 23:30:35.834564,1099,"263",8,18392
g80sh-conn-0923-2325-1.etl,2026-09-23 23:30:35.834568,1099,"264",8,18393
g80sh-conn-0923-2325-1.etl,2026-09-23 23:30:35.834577,1099,"265",10,18394
g80sh-conn-0923-2325-1.etl,2026-09-23 23:30:35.834584,1099,"266",8,18395
g80sh-conn-0923-2325-1.etl,2026-09-23 23:30:35.834586,1099,"0",0,0
g80sh-conn-0923-2325-1.etl,2026-09-23 23:30:37.229634,1099,"260",8,18396
g80sh-conn-0923-2325-1.etl,2026-09-23 23:30:37.229743,1099,"260",10,18397
g80sh-conn-0923-2325-1.etl,2026-09-23 23:30:37.229798,220,"GPU",,
g80sh-conn-0923-2325-1.etl,2026-09-23 23:30:37.256539,1099,"0",0,0
