file,time,id,a,b,c
g80sh-exp-ulps90.etl,2026-09-24 05:21:18.546910,1099,"256",10,81
g80sh-exp-ulps90.etl,2026-09-24 05:21:18.546926,1099,"257",8,82
g80sh-exp-ulps90.etl,2026-09-24 05:21:18.546931,1099,"258",8,83
g80sh-exp-ulps90.etl,2026-09-24 05:21:18.546936,1099,"259",8,84
g80sh-exp-ulps90.etl,2026-09-24 05:21:18.546943,1099,"260",10,85
g80sh-exp-ulps90.etl,2026-09-24 05:21:18.546950,1099,"261",8,86
g80sh-exp-ulps90.etl,2026-09-24 05:21:18.546955,1099,"262",8,87
g80sh-exp-ulps90.etl,2026-09-24 05:21:18.546960,1099,"263",8,88
g80sh-exp-ulps90.etl,2026-09-24 05:21:18.546964,1099,"264",8,89
g80sh-exp-ulps90.etl,2026-09-24 05:21:18.546973,1099,"265",10,90
g80sh-exp-ulps90.etl,2026-09-24 05:21:18.546980,1099,"266",8,91
g80sh-exp-ulps90.etl,2026-09-24 05:21:18.546982,1099,"0",0,0
g80sh-exp-ulps90.etl,2026-09-24 05:21:28.878753,1099,"256",10,92
g80sh-exp-ulps90.etl,2026-09-24 05:21:28.878768,1099,"257",8,93
g80sh-exp-ulps90.etl,2026-09-24 05:21:28.878773,1099,"258",8,94
g80sh-exp-ulps90.etl,2026-09-24 05:21:28.878778,1099,"259",8,95
g80sh-exp-ulps90.etl,2026-09-24 05:21:28.878786,1099,"260",10,96
g80sh-exp-ulps90.etl,2026-09-24 05:21:28.878793,1099,"261",8,97
g80sh-exp-ulps90.etl,2026-09-24 05:21:28.878798,1099,"262",8,98
g80sh-exp-ulps90.etl,2026-09-24 05:21:28.878802,1099,"263",8,99
g80sh-exp-ulps90.etl,2026-09-24 05:21:28.878807,1099,"264",8,100
g80sh-exp-ulps90.etl,2026-09-24 05:21:28.878815,1099,"265",10,101
g80sh-exp-ulps90.etl,2026-09-24 05:21:28.878822,1099,"266",8,102
g80sh-exp-ulps90.etl,2026-09-24 05:21:28.878824,1099,"0",0,0
g80sh-exp-ulps90.etl,2026-09-24 05:21:30.283340,1099,"260",8,103
g80sh-exp-ulps90.etl,2026-09-24 05:21:30.283463,1099,"260",10,104
g80sh-exp-ulps90.etl,2026-09-24 05:21:30.283505,220,"GPU",,
g80sh-exp-ulps90.etl,2026-09-24 05:21:30.311584,1099,"0",0,0
g80sh-exp-ulps90.etl,2026-09-24 05:21:30.323179,1010,"DISPLAY\SAM7B0C\7&16b8ddb4&0&UID260",,
g80sh-exp-ulps90.etl,2026-09-24 05:21:30.386640,1099,"0",0,0
g80sh-exp-ulps90.etl,2026-09-24 05:21:30.646634,1099,"260",8,105
g80sh-exp-ulps90.etl,2026-09-24 05:21:30.646710,1099,"0",0,0
g80sh-exp-ulps90.etl,2026-09-24 05:21:30.646778,220,"GPU",,
g80sh-exp-ulps90.etl,2026-09-24 05:21:30.704272,1010,"DISPLAY\Default_Monitor\7&16b8ddb4&0&UID260",,
g80sh-exp-ulps90.etl,2026-09-24 05:21:30.754955,1099,"0",0,0
g80sh-exp-ulps90.etl,2026-09-24 05:21:33.962711,1099,"260",10,106
g80sh-exp-ulps90.etl,2026-09-24 05:21:34.198161,1099,"0",0,0
g80sh-exp-ulps90.etl,2026-09-24 05:21:34.198224,220,"GPU",,
g80sh-exp-ulps90.etl,2026-09-24 05:21:34.229114,1099,"0",0,0
g80sh-exp-ulps90.etl,2026-09-24 05:22:04.507284,1099,"256",10,107
